date,most_important_feature
2023-11-01,daily_return_2
2023-11-02,daily_return_1
2023-11-03,deviation
2023-11-06,volatility_prev_day
2023-11-07,deviation
2023-11-08,deviation
2023-11-09,volatility_prev_day
2023-11-10,daily_return_1
2023-11-13,weekly_return
2023-11-14,daily_return_1
2023-11-15,deviation
2023-11-16,weekly_return
2023-11-17,weekly_return
2023-11-20,weekly_return
2023-11-21,weekly_return
2023-11-22,daily_return_3
2023-11-24,deviation
2023-11-27,deviation
2023-11-28,deviation
2023-11-29,deviation
2023-11-30,daily_return_2
2023-12-01,daily_return_2
2023-12-04,weekly_return
2023-12-05,weekly_return
2023-12-06,daily_return_2
2023-12-07,deviation
2023-12-08,deviation
2023-12-11,deviation
2023-12-12,deviation
2023-12-13,deviation
2023-12-14,weekly_return
2023-12-15,deviation
2023-12-18,weekly_return
2023-12-19,deviation
2023-12-20,deviation
2023-12-21,daily_return_2
2023-12-22,deviation
2023-12-26,deviation
2023-12-27,deviation
2023-12-28,deviation
2023-12-29,deviation
